name,province,area,population,ZIP_code,wiki_page
Puerto Boyacá,Manejo especial,1472,55694,155201,https://es.wikipedia.org/wiki/Puerto_Boyac%C3%A1
Quípama,Occidente,182,7776,155020,https://es.wikipedia.org/wiki/Qu%C3%ADpama
Ramiriquí,Márquez,139,9926,153401,https://es.wikipedia.org/wiki/Ramiriqu%C3%AD
Ráquira,Ricaurte,231,13682,153801,https://es.wikipedia.org/wiki/R%C3%A1quira
Rondón,Márquez,258,2796,153420,https://es.wikipedia.org/wiki/Rond%C3%B3n_(Boyac%C3%A1)
Saboyá,Occidente,246,12309,154601,https://es.wikipedia.org/wiki/Saboy%C3%A1
Sáchica,Ricaurte,62.4,3780,153880,https://es.wikipedia.org/wiki/S%C3%A1chica
Samacá,Centro,160,20116,153660,https://es.wikipedia.org/wiki/Samac%C3%A1
San Eduardo,Lengupá,106,1867,152601,https://es.wikipedia.org/wiki/San_Eduardo_(Boyac%C3%A1)
San José de Pare,Ricaurte,73.85,5158,154460,https://es.wikipedia.org/wiki/San_Jos%C3%A9_de_Pare
San Luis de Gaceno,Neira,458.5,4996,152801,https://es.wikipedia.org/wiki/San_Luis_de_Gaceno
San Mateo,Norte,131,3582,151201,https://es.wikipedia.org/wiki/San_Mateo_(Boyac%C3%A1)
San Miguel de Sema,Occidente,90,4548,153820,https://es.wikipedia.org/wiki/San_Miguel_de_Sema
San Pablo de Borbur,Occidente,193.9,10478,155040,https://es.wikipedia.org/wiki/San_Pablo_de_Borbur
Santa María,Neira,326.44,3918,152820,https://es.wikipedia.org/wiki/Santa_Mar%C3%ADa_(Boyac%C3%A1)
Santa Rosa de Viterbo,Tundama,107,13407,150480,https://es.wikipedia.org/wiki/Santa_Rosa_de_Viterbo_(Boyac%C3%A1)
Santa Sofía,Ricaurte,78,2658,154240,https://es.wikipedia.org/wiki/Santa_Sof%C3%ADa_(Boyac%C3%A1)
Santana,Ricaurte,67,7671,154440,https://es.wikipedia.org/wiki/Santana_(Boyac%C3%A1)
Sativanorte,Norte,184,2306,150820,https://es.wikipedia.org/wiki/Sativanorte
Sativasur,Norte,81,1094,150801,https://es.wikipedia.org/wiki/Sativasur
Siachoque,Centro,125,8967,153460,https://es.wikipedia.org/wiki/Siachoque
Soatá,Norte,136,7069,151001,https://es.wikipedia.org/wiki/Soat%C3%A1
Socha,Valderrama,264,7092,151640,https://es.wikipedia.org/wiki/Socha
Socotá,Valderrama,600,7934,151620,https://es.wikipedia.org/wiki/Socot%C3%A1
Sogamoso,Sugamuxi,208.54,112790,152210 152211,https://es.wikipedia.org/wiki/Sogamoso
Somondoco,Oriente,58.7,3555,153030,https://es.wikipedia.org/wiki/Somondoco
Sora,Centro,47,3027,154040,https://es.wikipedia.org/wiki/Sora_(Boyac%C3%A1)
Soracá,Centro,57,5279,153480,https://es.wikipedia.org/wiki/Sorac%C3%A1
Sotaquirá,Centro,288,7578,150420,https://es.wikipedia.org/wiki/Sotaquir%C3%A1
Susacón,Norte,193,3027,150880,https://es.wikipedia.org/wiki/Susac%C3%B3n
Sutamarchán,Ricaurte,102,5890,153860,https://es.wikipedia.org/wiki/Sutamarch%C3%A1n
Sutatenza,Oriente,41.26,4033,153060,https://es.wikipedia.org/wiki/Sutatenza
Tasco,Valderrama,167,6296,151660,https://es.wikipedia.org/wiki/Tasco
Tenza,Oriente,51,4052,153201,https://es.wikipedia.org/wiki/Tenza
Tibaná,Márquez,121.76,9136,153260,https://es.wikipedia.org/wiki/Tiban%C3%A1
Tibasosa,Sugamuxi,94.3,14196,152260,https://es.wikipedia.org/wiki/Tibasosa
Tinjacá,Ricaurte,79.26,3039,153840,https://es.wikipedia.org/wiki/Tinjac%C3%A1
Tipacoque,Norte,72,3160,151020,https://es.wikipedia.org/wiki/Tipacoque
Toca,Centro,165,10106,150260,https://es.wikipedia.org/wiki/Toca
Togüí,Ricaurte,118,4931,154401,https://es.wikipedia.org/wiki/Tog%C3%BC%C3%AD
Tópaga,Sugamuxi,37,3694,152040,https://es.wikipedia.org/wiki/T%C3%B3paga
Tota,Sugamuxi,314,5348,152440,https://es.wikipedia.org/wiki/Tota
Tunja,Centro,118,191878,150001-150009,https://es.wikipedia.org/wiki/Tunja
Tununguá,Occidente,73,1861,154680,https://es.wikipedia.org/wiki/Tunungu%C3%A1
Turmequé,Márquez,106,6050,153630,https://es.wikipedia.org/wiki/Turmequ%C3%A9
Tuta,Centro,165,9734,150401,https://es.wikipedia.org/wiki/Tuta
Tutazá,Tundama,135,1854,150660,https://es.wikipedia.org/wiki/Tutaz%C3%A1
Úmbita,Márquez,148,10322,153240,https://es.wikipedia.org/wiki/%C3%9Ambita
Ventaquemada,Centro,159.3,15532,153640,https://es.wikipedia.org/wiki/Ventaquemada
Villa de Leyva,Ricaurte,128,16984,154001,https://es.wikipedia.org/wiki/Villa_de_Leyva
Viracachá,Márquez,64,3201,153450,https://es.wikipedia.org/wiki/Viracach%C3%A1
Zetaquira,Lengupá,226,4489,152680,https://es.wikipedia.org/wiki/Zetaquira
